VehicleMake,VehicleModel,Total,PASS,PASS %,FAIL,FAIL %,Vehicle and Safety Equipment,Vehicle and Safety Equipment %,Lighting and Electrical,Lighting and Electrical %,Steering and Suspension,Steering and Suspension %,Braking Equipment,Braking Equipment %,Wheels and Tyres,Wheels and Tyres %,"Engine, Noise and Exhaust","Engine, Noise and Exhaust %",Chassis and Body,Chassis and Body %,Side Slip Test,Side Slip Test %,Suspension Test,Suspension Test %,Light test,Light test %,Brake Test,Brake Test %,Emmissions,Emmissions %,OTHER,OTHER %,Incompletable,Incompletable %
LOTUS,OTHER,67.0,33.0,49.2537,34.0,50.7463,15.0,22.3881,11.0,16.4179,5.0,7.4627,3.0,4.4776,6.0,8.9552,1.0,1.4925,0.0,0.0,7.0,10.4478,1.0,1.4925,3.0,4.4776,5.0,7.4627,7.0,10.4478,0.0,0.0,0.0,0.0
MAKE UNSPECIFIED,OTHER,31.0,16.0,51.6129,15.0,48.3871,7.0,22.5806,6.0,19.3548,2.0,6.4516,2.0,6.4516,6.0,19.3548,2.0,6.4516,0.0,0.0,1.0,3.2258,0.0,0.0,0.0,0.0,2.0,6.4516,3.0,9.6774,0.0,0.0,0.0,0.0
MAKE UNSPECIFIED,UNKNOWN MODEL,397.0,112.0,28.2116,285.0,71.7884,83.0,20.9068,123.0,30.9824,89.0,22.4181,53.0,13.3501,48.0,12.0907,47.0,11.8388,41.0,10.3275,74.0,18.6398,28.0,7.0529,39.0,9.8237,68.0,17.1285,28.0,7.0529,19.0,4.7859,0.0,0.0
MASERATI,OTHER,59.0,24.0,40.678,35.0,59.322,19.0,32.2034,8.0,13.5593,5.0,8.4746,3.0,5.0847,7.0,11.8644,1.0,1.6949,1.0,1.6949,7.0,11.8644,4.0,6.7797,5.0,8.4746,5.0,8.4746,2.0,3.3898,1.0,1.6949,0.0,0.0
MAZDA,121,313.0,94.0,30.0319,219.0,69.9681,41.0,13.099,65.0,20.7668,62.0,19.8083,67.0,21.4058,50.0,15.9744,37.0,11.8211,118.0,37.6997,31.0,9.9042,23.0,7.3482,21.0,6.7093,90.0,28.754,11.0,3.5144,3.0,0.9585,0.0,0.0
MAZDA,2,1994.0,1466.0,73.5206,528.0,26.4794,117.0,5.8676,138.0,6.9208,144.0,7.2217,42.0,2.1063,150.0,7.5226,23.0,1.1535,15.0,0.7523,120.0,6.0181,71.0,3.5607,31.0,1.5547,47.0,2.3571,24.0,1.2036,3.0,0.1505,0.0,0.0
MAZDA,3,8265.0,4632.0,56.0436,3633.0,43.9564,446.0,5.3962,1580.0,19.1168,1561.0,18.8869,204.0,2.4682,945.0,11.4338,108.0,1.3067,244.0,2.9522,1284.0,15.5354,673.0,8.1428,200.0,2.4198,204.0,2.4682,153.0,1.8512,21.0,0.2541,2.0,0.0242
MAZDA,323,4082.0,1379.0,33.7825,2703.0,66.2175,505.0,12.3714,924.0,22.636,741.0,18.1529,485.0,11.8814,689.0,16.879,257.0,6.2959,1132.0,27.7315,298.0,7.3003,324.0,7.9373,168.0,4.1156,672.0,16.4625,324.0,7.9373,24.0,0.5879,4.0,0.098
MAZDA,6,8096.0,4156.0,51.334,3940.0,48.666,750.0,9.2638,1620.0,20.0099,816.0,10.0791,464.0,5.7312,985.0,12.1665,185.0,2.2851,685.0,8.461,693.0,8.5598,139.0,1.7169,277.0,3.4214,987.0,12.1912,474.0,5.8547,33.0,0.4076,3.0,0.0371
MAZDA,626,589.0,211.0,35.8234,378.0,64.1766,60.0,10.1868,128.0,21.7317,128.0,21.7317,112.0,19.0153,85.0,14.4312,48.0,8.1494,127.0,21.562,92.0,15.6197,45.0,7.6401,23.0,3.9049,141.0,23.9389,32.0,5.4329,1.0,0.1698,0.0,0.0
MAZDA,AXELA,12.0,9.0,75.0,3.0,25.0,0.0,0.0,0.0,0.0,2.0,16.6667,0.0,0.0,2.0,16.6667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAZDA,CX-5,128.0,112.0,87.5,16.0,12.5,6.0,4.6875,3.0,2.3438,1.0,0.7813,0.0,0.0,1.0,0.7813,2.0,1.5625,1.0,0.7813,1.0,0.7813,0.0,0.0,3.0,2.3438,0.0,0.0,3.0,2.3438,0.0,0.0,0.0,0.0
MAZDA,DEMIO,1503.0,638.0,42.4484,865.0,57.5516,174.0,11.5768,282.0,18.7625,165.0,10.978,130.0,8.6494,252.0,16.7665,222.0,14.7705,207.0,13.7725,134.0,8.9155,117.0,7.7844,68.0,4.5243,139.0,9.2482,48.0,3.1936,4.0,0.2661,1.0,0.0665
MAZDA,MAZDA 5,1218.0,550.0,45.156,668.0,54.844,159.0,13.0542,187.0,15.353,264.0,21.6749,36.0,2.9557,125.0,10.2627,116.0,9.5238,21.0,1.7241,215.0,17.6519,156.0,12.8079,43.0,3.5304,27.0,2.2167,125.0,10.2627,0.0,0.0,0.0,0.0
MAZDA,MPV,48.0,23.0,47.9167,25.0,52.0833,8.0,16.6667,11.0,22.9167,4.0,8.3333,1.0,2.0833,6.0,12.5,4.0,8.3333,4.0,8.3333,5.0,10.4167,0.0,0.0,6.0,12.5,2.0,4.1667,3.0,6.25,0.0,0.0,0.0,0.0
MAZDA,MX,384.0,194.0,50.5208,190.0,49.4792,29.0,7.5521,62.0,16.1458,21.0,5.4688,44.0,11.4583,35.0,9.1146,19.0,4.9479,45.0,11.7188,10.0,2.6042,13.0,3.3854,18.0,4.6875,59.0,15.3646,32.0,8.3333,1.0,0.2604,0.0,0.0
